mode,region,group,pid,date,utt_no,wav_path,transcript,prediction
read,DG,1,PID_000000031,20191017,00111,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00111_DG.wav,﻿오늘의 운동은,오늘의 운동은
read,DG,1,PID_000000031,20191025,00192,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00192_DG.wav,﻿가족들이랑 오랜만에 절에 다녀왔어,가족들이랑 오랜만에 절에 다녀왔어.
read,DG,1,PID_000000026,20191009,00066,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191009_00066_DG.wav,﻿내 혈당 기록해,내 열당 기록해.
read,DG,1,PID_000000026,20191009,00146,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191009_00146_DG.wav,﻿지금 혈당 기록해,지금 혈당 기록해.
read,DG,1,PID_000000032,20191017,00519,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00519_DG.wav,﻿아들이 매일 전화를 해줘서 너무 좋아,아들이 매일 전화를 해줘서 너무 좋아.
read,DG,1,PID_000000027,20191015,00097,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00097_DG.wav,﻿질병별 예방 운동 추천 좀 해줘,질병별 예방 운동 추천 좀 해줘.
read,DG,1,PID_000000030,20191015,00317,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191015_00317_DG.wav,﻿오늘은 보리밥에 소고기 무국을 해먹으려고,오늘은 보리밥에 소고기 무국을 해 먹으려고.
read,DG,1,PID_000000032,20191017,00438,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00438_DG.wav,﻿몸이 안좋을 때는 뭘 먹는게 좋을까,몸이 안 좋을 때는 뭘 먹는 게 좋을까.
read,DG,1,PID_000000031,20191025,00378,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00378_DG.wav,﻿노인정에서 우리 동네 노인네들이랑 고스톱 치면서 놀았어,노인 중에서 우리 동네 노인네들이랑 고스도불 치면서 놀았어.
read,DG,1,PID_000000026,20191012,00188,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00188_DG.wav,﻿나 운동하게 추천해라,운동하게 추천해라.
read,DG,1,PID_000000026,20191012,00147,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00147_DG.wav,﻿나 고혈압인데 운동 추천해줘,나 고혈압인데 운동 추천해줘.
read,DG,1,PID_000000031,20191017,00345,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00345_DG.wav,﻿골다공증 좋은 음식 알려줘,골다공증 좋은 음식 알려줘.
read,DG,1,PID_000000032,20191017,00048,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00048_DG.wav,﻿무슨 운동을 할까,무슨 운동을 할까?
read,DG,1,PID_000000032,20191017,00091,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00091_DG.wav,﻿운동 알려줘,운동 알려줘.
read,DG,1,PID_000000027,20191015,00289,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00289_DG.wav,﻿비만에 좋은 음식이 알려줘,비만에 좋은 음식이 알려줘.
read,DG,1,PID_000000030,20191007,00063,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191007_00063_DG.wav,﻿내 혈당 기록 서비스,내 혈당 기록 서비스
read,DG,1,PID_000000028,20191011,00171,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191011_00171_DG.wav,﻿혈당 오늘자 기록해,혈당 오늘자 기록해
read,DG,1,PID_000000026,20191012,00369,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00369_DG.wav,﻿질병에 따른 추천 음식 뭘까,내 다른 추천 음식은 뭘까?
read,DG,1,PID_000000028,20191011,00187,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191011_00187_DG.wav,﻿혈당 저장,혈당 저장
read,DG,1,PID_000000029,20191014,00162,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00162_DG.wav,﻿좋은 음식 알려 주세요,좋은 음식 알려주세요.
read,DG,1,PID_000000029,20191014,00092,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00092_DG.wav,﻿나 운동하게 추천해라,나 운동하게 추천해라.
read,DG,1,PID_000000029,20191014,00348,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00348_DG.wav,﻿사위가 용돈을 주는 날인데 모르는 척을 해,사위가 용돈을 주는 날인데 모르는 척을 해.
read,DG,1,PID_000000030,20191007,00292,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191007_00292_DG.wav,﻿뭔 운동을 할까,뭔 운동을 할까
read,DG,1,PID_000000028,20191017,00222,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191017_00222_DG.wav,﻿질병에 따른 추천 음식 뭐야,질병에 따른 추천 음식 뭐야?
read,DG,1,PID_000000026,20191017,00024,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00024_DG.wav,﻿딸이 고맙다고 용돈을 줬어,딸이 고맙다고 용돈을 주어서.
read,DG,1,PID_000000026,20191017,00026,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00026_DG.wav,﻿아들이 용뻔 용돈을 보내줬어,아들이 용돈을 보내주었어.
read,DG,1,PID_000000029,20191008,00073,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191008_00073_DG.wav,﻿내 혈당 등록 서비스해봐,내 혈당 등록 서비스 해봐.
read,DG,1,PID_000000027,20191015,00777,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00777_DG.wav,﻿오층 할머니가 결국 요양원에 갔대,5층 할머니가 결국 요양원에 갔대.
read,DG,1,PID_000000032,20191017,00396,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00396_DG.wav,﻿음식 추천해줘 알려줘,음식 추천해줘 알려줘.
read,DG,1,PID_000000029,20191015,00228,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191015_00228_DG.wav,﻿앞집 김씨 아저씨가 많이 아픈가봐,앞집 김 씨 아저씨가 많이 아픈가 봐.
read,DG,1,PID_000000031,20191010,00125,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191010_00125_DG.wav,﻿오늘 혈당 등록해줄래,오늘 혈당 등록해 줄래?
