wav_path,speaker_id,gender,age,region,duration,transcript,pred_A,pred_B
노인남여_노인대화07_M_1520916170_75_수도권_실내_07918.wav,1520916170,M,75,수도권,10.408,버거워 하진 않았는데 이제 땀은 많이 흘렸는데,허거워 하진 않았는데 이제 땀은 많이 흘렸는데,버거워 하진 않았는데 이제 땀은 많이 흘렸는데
노인남여_노인대화08_F_1531552733_69_수도권_실내_09157.wav,1531552733,F,69,수도권,10.49,그래서 파프리카도 쓰 싸게 나오나와서 종류별로 하고,그래서 파프리카도 싸게 나와서 종류별로 하고,그래서 파프리카도 싸게 나와서 종류별로 하고
노인남여_노인대화08_F_1531552733_69_수도권_실내_09158.wav,1531552733,F,69,수도권,10.15,오이 그리고 숙주도 있어서 넣고 이것저것 해서,오이 그리고 쑥쥐도 있어서 넣고 이것저것 해서,오이 그리고 쑥쥐도 있어서 넣고 이것저것 해서
노인남여_노인대화08_F_1531552733_69_수도권_실내_09161.wav,1531552733,F,69,수도권,12.63,그래서 월남쌈 자주 해 먹어야겠다했다라고 생각했어요,그래서 월남쌈 자주 해 먹어야 겠다 겠다 라고 생각했어요,그래서 월남쌈 자주 해 먹어야 겠다 겠다 라고 생각했어요
노인남여_노인대화08_F_1531552733_69_수도권_실내_09165.wav,1531552733,F,69,수도권,13.05,씁 그래서 피시소스에 청양고추 소금 다져서 넣고,그래서 피시 소스에 청양고추 소금 다져서 넣고,그래서 피시 소스에 청양고추 소금 다져서 넣고
노인남여_노인대화08_F_1531552733_69_수도권_실내_09171.wav,1531552733,F,69,수도권,10.41,시골에서 드시던 음식들이 생각이 많이 나나 봐요,시골에서 드시던 음식들이 생각이 많이 나나 봐요,시골에서 드시던 음식들이 생각이 많이 나나 봐요
노인남여_노인대화08_F_1531552733_69_수도권_실내_09173.wav,1531552733,F,69,수도권,10.32,꽈리고추 말고도 요즘 이렇게 그냥 찍어먹는 고추인데,파리고추 말고도 요즘 이렇게 그냥 찍어 먹는 고추인데,파리고추 말고도 요즘 이렇게 그냥 찍어 먹는 고추인데
노인남여_노인대화08_F_1531552733_69_수도권_실내_09177.wav,1531552733,F,69,수도권,11.09,저 같은 경우에는 고추찜을 어떻게 하냐면,저 같은 경우에는 고추찜을 어떻게 하냐면,저 같은 경우에는 고추찜을 어떻게 하냐면
노인남여_노인대화08_F_1531552733_69_수도권_실내_09178.wav,1531552733,F,69,수도권,10.749,그러니까 날 콩가루 그리고 밀가루랑 반반 섞어서,그러니까 날 콩가루 그리고 밀가루랑 반반 섞어서,그러니까 날 콩가루 그리고 밀가루랑 반반 섞어서
노인남여_노인대화08_F_1531552733_69_수도권_실내_09179.wav,1531552733,F,69,수도권,13.91,그 다음에 고추를 깨끗이깨끗하게 씻어서 비닐 봉투에 담아서,그다음에 고추를 깨끗이 깨끗하게 씻어서 비닐 봉투에 담아서,그다음에 고추를 깨끗이 깨끗하게 씻어서 비닐 봉투에 담아서
노인남여_노인대화08_F_1531552733_69_수도권_실내_09180.wav,1531552733,F,69,수도권,11.261,반반 섞은 콩가루하고 밀가루를 거기에다 뿌려요,반반 섞은 콩가루 하고 밀가루를 거기에다 뿌려요,반반 섞은 콩가루 하고 밀가루를 거기에다 뿌려요
노인남여_노인대화08_F_1531552733_69_수도권_실내_09181.wav,1531552733,F,69,수도권,11.26,그렇게 해서 봉지를 묶어 가지가지고 이렇게 흔들어주어주면,그렇게 해서 봉지를 묶어 가지고 이렇게 흔들어 주면,그렇게 해서 봉지를 묶어 가지고 이렇게 흔들어 주면
노인남여_노인대화08_F_1531552733_69_수도권_실내_09183.wav,1531552733,F,69,수도권,11.35,그러면 그거를 찜통 찜솥에 넣고 쪄요 쪄서 양념해서 먹죠,그러면 그거를 찜통 찜솥에 넣고 쪄요 쪄서 양념해서 먹죠,그러면 그거를 찜솥에 넣고 쪄요 쪄서 양념해서 먹죠
